# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     31      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
    0     29     30      -      0      0      0      0      0      0    405    180 
